location,data
Norway,"1. Passengers are not allowed to enter Norway. 
- This does not apply to nationals and residents of Norway. 
- This does not apply to nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and passengers with a British passport if they are residing or working in Norway. If they cannot prove their residency in Norway, they must be able to prove their nationality in one of the countries listed above.
- This does not apply to nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and passengers with a British passport if they are transiting via Norway to return to their country of residence.
- This does not apply to passengers with a visa issued by Norway after 15 March 2020.
- This does not apply to airline crew. 
- This does not apply to passengers in transit. 
- This does not apply to passengers who have a particular responsibility to care for residents of Norway or who have strong welfare reasons. 
- This does not apply to the following passengers:
passengers with a diplomatic or service passport when they are accredited to Norway;
passengers with an ID card as diplomat or a Schengen residence card issued to diplomatic staff;
transit workers to oil platforms and similar;
NATO staff with travel order;
passengers with a valid flight certificate on duty;
seamen in transit to or from ships;
professional transporters of goods;
media staff on duty;
cruise passengers on cruises that started before 16 March 0800 CET transiting Norway to return home. 
2. The following passengers must undergo a 14-day home quarantine:
- nationals and residents of Norway;
- nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and passengers with a British passport if they are residing or working in Norway;
- passengers who have a particular responsibility to care for residents of Norway or who have strong welfare reasons.
3. All crew and passengers must fill out the public health information form and hand it over to the local airport authority upon arrival.
4. Passengers are only allowed to travel to Svalbard after they have stayed in quarantined in other parts of Norway."
Seychelles,"1. The international airport in Seychelles is closed to all international flights until 30 April 2020.
- This does not apply to repatriation flights of foreign nationals from Seychelles.
- This does not apply to emergency diversions.
- This does not apply to special mission flights that are approved (MEDEVAC).
2. Passengers are not allowed to enter Seychelles.
- This does not apply to passengers who require to enter Seychelles on special mission and have a permission from the Public Health Commissioner before departure. 
- This does not apply to crew members requiring minimum rest. They must undergo strict mandatory quarantine during the rest period. 
- This does not apply to any other person under other circumstances as approved by the Public Health Commissioner."
Turkey,"1. SAW airport is closed from 5 April 2020 to 30 April 2020.
2. Nationals of Algeria, Angola, Austria, Azerbaijan, Bangladesh, Belgium, Bulgaria, Cameroon, Canada, Chad, China (People's Rep.), Colombia, Cote d'Ivoire, Czechia, Denmark, Djibouti, Dominica, Ecuador, Egypt, Equatorial Guinea, Finland, France, Georgia, Germany, Greece. Guatemala, Hungary, India, Iran, Iraq, Ireland (Rep.), Italy, Jordan, Kazakhstan, Kenya, Korea (Rep.), Kosovo, Kuwait, Latvia, Lebanon, Mauritania, Moldova, Mongolia, Montenegro, Morocco, Nepal, Netherlands, Niger, North Macedonia (Rep.), Norway, Oman, Panama, Peru, Philippines, Poland, Portugal, Saudi Arabia, Slovenia, Spain, Sri Lanka, Sudan, Sweden, Switzerland, Tunisia, Ukraine, United Arab Emirates and Uzbekistan are not allowed to enter Turkey. 
3. Passengers with a British passport are not allowed to enter Turkey.
4. Passengers with a Chinese Taipei (on the cover: Republic of China Taiwan) passport are not allowed to enter Turkey.
5. Passengers who have transited or have been in Algeria, Angola, Austria, Azerbaijan, Bangladesh, Belgium, Bulgaria, Cameroon, Canada, Chad, China (People's Rep.), Chinese Taipei, Colombia, Cote d'Ivoire, Czechia, Denmark, Djibouti, Dominica, Ecuador, Egypt, Equatorial Guinea, Finland, France, Georgia, Germany, Greece, Guatemala, Hungary, India, Iran, Iraq, Ireland (Rep.), Italy, Jordan, Kazakhstan, Kenya, Korea (Rep.), Kosovo, Kuwait, Latvia, Lebanon, Mauritania, Moldova, Mongolia, Montenegro, Morocco, Nepal, Netherlands, Niger, North Macedonia (Rep.), Norway, Oman, Panama, Peru, Philippines, Poland, Portugal, Saudi Arabia, Slovenia, Spain, Sri Lanka, Sudan, Sweden, Switzerland, Tunisia, Ukraine, United Arab Emirates, United Kingdom or Uzbekistan in the past 14 days are not allowed to transit or enter Turkey. 
6. Passengers arriving from Algeria, Angola, Austria, Azerbaijan, Bangladesh, Belgium, Bulgaria, Cameroon, Canada, Chad, China (People's Rep.), Chinese Taipei, Colombia, Cote d'Ivoire, Czechia, Denmark, Djibouti, Dominica, Ecuador, Egypt, Equatorial Guinea, Finland, France, Georgia, Germany, Greece, Guatemala, Hungary, India, Iran, Iraq, Ireland (Rep.), Italy, Jordan, Kazakhstan, Kenya, Korea (Rep.), Kosovo, Kuwait, Latvia, Lebanon, Mauritania, Moldova, Mongolia, Montenegro, Morocco, Nepal, Netherlands, Niger, North Macedonia (Rep.), Norway, Oman, Panama, Peru, Philippines, Poland, Portugal, Saudi Arabia, Slovenia, Spain, Sri Lanka, Sudan, Sweden, Switzerland, Tunisia, Ukraine, United Arab Emirates, United Kingdom or Uzbekistan in the past 14 days are not allowed to transit or enter Turkey.
7. All passengers who traveled to the above restricted countries during the last 14 days are prohibited to be accepted to all flights to Turkey. Otherwise, all passengers on the flights will be quarantined for 14 days."
Spain,"Passengers are not allowed to enter Spain until 23 April 2020. 
-This does not apply to:
a) When arriving from a European Union or Schengen member state
b) Nationals and residents of a European Union or Schengen member state, who go directly to their place of residence;
c) Holders of a long-term visa issued by a European Union or Schengen member state who travel to the country that issued the visa;
d) Cross-border workers;
e) Healthcare or elderly care professionals in the performance of their duties;
f) Transport of goods personnel;
g) Diplomats, international organizations, military personnel and members of humanitarian organizations in the performance of their duties;
h) People traveling for imperative family reasons duly accredited.
i) Persons who documentary reasons of force majeure or situation of need, or whose entry is permitted for humanitarian reasons."
Kazakhstan,"1. Passengers are not allowed to enter and exit from/to Kazakhstan until further notice (official source http://www.mfa.kz/en/).
- This does not apply to nationals of Kazakhstan, who left the country – upon their return. 
- This does not apply to nationals of Kazakhstan, who travelling abroad for treatment – supporting documents from medical institutes are required.
- This does not apply to foreigners departing from Kazakhstan 
- This does not apply to staff of the diplomatic service of Kazakhstan and foreign states and members of their families, as well as members of delegations of foreign states and international organizations traveling to Kazakhstan at the invitation of the Ministry of Foreign Affairs of the Republic of Kazakhstan;
- This does not apply to crewmembers of train, locomotive, aircraft and sea crews;
- This does not apply to service personnel of foreign cross-border facilities on the territory of Kazakhstan and service personnel of Kazakh cross-border facilities on the territory of neighboring states; 
- This does not apply to foreigners (stateless persons), holders of Kazakh residence permits;
- This does not apply to foreigners who are family members of citizens of Kazakhstan (subject to confirmation of kinship – spouses, parents and children).
2. All airports are closed for international flights until 30 April 2020.
- This does not apply to state flights, ferry flights, sanitary flights or technical landing for refuel."
Czech Republic,"Passengers are not allowed to enter Czechia.
- This does not apply to nationals of Czechia.
- This does not apply to passengers with a Czech residence permit for stay over 90 days or for permanent stay.
- This does not apply to passengers with a Czech long-stay visa (not including visa stickers with a national comment D/VR/XX).
- This does not apply to passengers with diplomatic and service passports issued by Czechia. 
- This does not apply to passengers who are younger than 18 years of age and who are nationals of Czechia or another EU Member State, Iceland, Liechtenstein, Norway, Switzerland or United Kingdom. A birth certificate or its copy must be presented. In case the child is not a national of EU Member State, Iceland, Liechtenstein, Norway, Switzerland or United Kingdom or a national of EU visa free country, visa or residence permit must be presented. 
- This does not apply to members of the mission under the Vienna Convention on Diplomatic Relations and members of the consular posts under the Vienna Convention on Consular Relations accredited in Czechia, and officials of international organizations based in Czechia registered with Ministry of the Foreign Affairs of Czechia, including their family members.
- This does not apply to passengers who are spouses of nationals of Czechia or of nationals of another EU Member State, Iceland, Liechtenstein, Norway, Switzerland or United Kingdom. A marriage certificate or its copy must be presented. In case the spouse is not a national of EU Member State, Iceland, Liechtenstein, Norway, Switzerland or United Kingdom or a national of EU visa free country, visa or residence permit must be presented.
- This does not apply to passengers who are nationals of another EU Member State, Iceland, Liechtenstein, Norway, Switzerland or United Kingdom, with an official confirmation by an embassy of their home state or by an embassy of Czechia confirming acceptance to a flight for the purpose of repatriation to their home state and an organized transfer or their intention to transfer from the territory of Czechia to their home state.
- This does not apply to passengers with a long-stay visa, residence permit for stay over 90 days or for permanent stay in another EU Member State, Iceland, Liechtenstein, Norway, Switzerland or United Kingdom, with an official confirmation by an embassy of the state which issued their residence permit or by an embassy of Czechia confirming acceptance to a flight for the purpose of repatriation and to an organized transfer or their intention to transfer from the territory of Czechia to their country of origin.
- This does not apply to nationals of EU Member States, Iceland, Liechtenstein, Norway, Switzerland or United Kingdom residing in Czechia who have been accepted into a special repatriation flight organized by the Ministry of Foreign Affairs of Czechia or another state with one of the following documents:
- European Health Insurance Card issued by Czechia,
- document confirming residence in Czechia such as lease contract,
- employment contract with the place of work in Czechia;
- confirmation of study in Czechia."
Georgia,"1. Passengers are not allowed to enter Georgia.
- This does not apply to nationals and residents of Georgia.
- This does not apply to airline crew.
- This does not apply to representatives of diplomatic missions and international organizations and their family members accredited to Georgia.
- This does not apply to mixed families where one of the spouses or their under age child is a citizen of Georgia.
- This does not apply to passengers who are part of the humanitarian mission if trip of such mission (doctors, volunteers) becomes a necessity. 
- This does not apply to passengers who have been granted the status of stateless persons by respective authorities of Georgia.
- This does not apply to passengers who are holding status neutral travel documents.
- This does not apply to passengers with a refugee status in Georgia.
2. Passengers with a residence permit issued by Georgia must get an OKTOBOARD before departing for Georgia."
Sweden,"Passengers arriving from outside Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Switzerland and United Kingdom are not allowed to enter.
- This does not apply to nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and Switzerland, and their family members.
- This does not apply to passengers with a British passport and their family members.
- This does not apply to passengers with a residence permit issued by Sweden. 
- This does not apply to passengers with a national visa issued by Sweden. 
- This does not apply to the following passengers:
a. healthcare personnel;
b. border workers;
c. personnel transporting goods and other personnel in the transport sector to the necessary extent;
d. persons covered by Chapter 2. Section 10 of the Aliens Act (2005: 716);
e. persons working in international organizations, military personnel and relief workers;
f. passengers in transit; 
g. persons with urgent family reasons;
h. persons in need of international protection or for other humanitarian reasons."
Turks and Caicos Islands,"1. Passengers who have been in Austria, Belgium, Czechia, China (People's Rep.), Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Italy, Japan, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Macao (SAR China), Malta, Monaco, Netherlands, Norway, Poland, Portugal, San Marino, Slovakia, Slovenia, Spain, Sweden, Switzerland, Singapore or Vatican City in the past 21 days are not allowed to enter Turks and Caicos.
- This does not apply to nationals and residents of Turks and Caicos.
2. Nationals and residents of Turks and Caicos who have been in Austria, Belgium, Czechia, China (People's Rep.), Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Italy, Japan, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Macao (SAR China), Malta, Monaco, Netherlands, Norway, Poland, Portugal, San Marino, Slovakia, Slovenia, Spain, Sweden, Switzerland, Singapore or Vatican City in the past 21 days are subject to quarantine for 14 days."
Solomon Islands,"1. Passengers who have transited through or have been in Austria, Bahrain, Belgium, China (People's Rep.), Chinese Taipei, Denmark, France, Germany, Greece, Hong Kong (SAR China), Indonesia, Iran, Israel, Italy, Japan, Korea (Rep.), Kuwait, Macao (SAR China), Malaysia, Netherlands, Norway, Qatar, Singapore, Spain, Sweden, Switzerland or Thailand in the past 14 days are not allowed to enter Solomon Isl.

- This does not apply to nationals of Solomon Isl.

2. Passengers who have transited through or have been in Afghanistan, Algeria, Andorra, Argentina, Armenia, Australia, Azerbaijan, Bangladesh, Belarus, Bhutan, Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, Burkina Faso, Cambodia, Cameroon, Canada, Chile, Colombia, Congo (Dem. Rep.), Costa Rica, Cote d'Ivoire, Cyprus, Czechia, Dominican Rep., Ecuador, Egypt, Estonia, Finland, French Guiana, French Polynesia, Georgia, Gibraltar, Honduras, Hungary, Iceland, India, Ireland (Rep.), Jamaica, Jordan, Latvia, Lebanon, Liechtenstein, Lithuania, Luxembourg, Maldives, Mexico, Moldova (Rep.), Monaco, Mongolia, Morocco, Nepal, New Zealand, Nigeria, North Macedonia (Rep.), Oman, Pakistan, Palestinian Territory, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Romania, Russian Fed., San Marino, Saudi Arabia, Senegal, Serbia, Sierra Leone, Slovenia, South Africa, Sri Lanka, Togo, Turkey, USA, Ukraine, United Arab Emirates, United Kingdom, Vatican City (Holy See) or Viet Nam in the past 14 days may be subject to immediate quarantine or isolation as applicable."
United States of America,"1. Passengers who have transited or have been in Austria, Belgium, China (People's Rep.), Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland or in the United Kingdom (excluding overseas territories outside of Europe), in the past 14 days are not allowed to enter the USA.
-This does not apply to:
a. nationals of the USA;
b. permanent residents of the USA;
c. passengers arriving in the US on flights that departed before 23:59 EDT on 13 March 2020;
d. the spouse of a national of the USA;
e. the souse of a permanent resident of the US;
f. the parent/legal guardian of an unmarried and younger than 21 years national or permanent resident of the USA;
g. the unmarried and younger than 21 years brother or sister of a national or permanent resident of the USA, who is unmarried and younger than 21 years;
h. the child/foster child/ward of a national or permanent resident of the USA;
i. passengers with an IR-4 or IH-4 visa;
j. passengers with a C-1, D, or C-1/D visa;
k. passengers with an A-1, A-2, C-2, C-3, E-1, G-1, G-2, G-3, G-4, NATO-1 through NATO-4, or NATO-6 visa;
l. members of the U.S. Armed Forces, spouses, and children of members of the U.S. Armed Forces;
m. passengers with evidence of traveling at the invitation of the USA government for a purpose related to the containment/mitigation of the Coronavirus (COVID-19);
n. passengers with documents issued by the U.S. Department of Homeland Security, U.S. Customs and Border Protection, or U.S. Department of State indicating that the passenger is exempt from the restriction.
2. Passengers who have been in one of the countries listed in bullet number 1 in the past 14 days but are exempt from the restriction to enter the USA, must arrive at one of the following airports: Atlanta (ATL), Boston (BOS), Chicago (ORD), Dallas, (DFW), Detroit (DTW), Honolulu (HNL), Los Angeles (LAX), Miami (MIA), New York (JFK or EWR), San Francisco (SFO), Seattle (SEA) and Washington (IAD)."
